model,id,category,text,intelligibility_v2,naturalness_v2,code_switch_v2,speaker_quality_v2,roman_treated_as_english_v2,silence_or_skip_v2,end_of_clip_pop_v2,auto_score_confidence_v2,notes_v2
kokoro,18,mixed_script,"Mera presentation tomorrow है, और मैं nervous हूं।",5,ear-only,5,4,FALSE,FALSE,FALSE,MEDIUM,unified_CER aai=0.182 dg=0.000 groq=0.023 → intel_per [aai=3 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.97 (synthetic-relative only); code_switch via pure-cat gap (3.56-5=-1.44); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,18,mixed_script,"Mera presentation tomorrow है, और मैं nervous हूं।",4,ear-only,5,4,FALSE,FALSE,FALSE,LOW,unified_CER aai=0.409 dg=0.023 groq=0.136 → intel_per [aai=2 dg=5 groq=4] median=4; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.78 (synthetic-relative only); code_switch via pure-cat gap (3.12-4=-0.88); naturalness=ear-only per CEILING_REPORT.md.
indicf5,18,mixed_script,"Mera presentation tomorrow है, और मैं nervous हूं।",1,ear-only,1,3,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.614 dg=0.568 groq=0.568 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.04 (synthetic-relative only); code_switch via pure-cat gap (2.81-1=1.81); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,18,mixed_script,"Mera presentation tomorrow है, और मैं nervous हूं।",1,ear-only,1,4,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.614 dg=0.591 groq=0.773 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.62 (synthetic-relative only); code_switch via pure-cat gap (2.81-1=1.81); naturalness=ear-only per CEILING_REPORT.md.
kokoro,19,mixed_script,"Bhai please मेरा homework कर दे, मैं तुझे ₹100 दूंगा।",3,ear-only,1,5,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.163 dg=0.184 groq=0.184 → intel_per [aai=3 dg=3 groq=3] median=3; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.01 (synthetic-relative only); code_switch via pure-cat gap (3.56-3=0.56); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,19,mixed_script,"Bhai please मेरा homework कर दे, मैं तुझे ₹100 दूंगा।",2,ear-only,1,4,FALSE,FALSE,TRUE,HIGH,unified_CER aai=0.531 dg=0.327 groq=0.449 → intel_per [aai=1 dg=2 groq=2] median=2; silent_per [aai=1 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.76 (synthetic-relative only); code_switch via pure-cat gap (3.12-2=1.12); naturalness=ear-only per CEILING_REPORT.md.
indicf5,19,mixed_script,"Bhai please मेरा homework कर दे, मैं तुझे ₹100 दूंगा।",2,ear-only,1,5,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.327 dg=0.347 groq=0.367 → intel_per [aai=2 dg=2 groq=2] median=2; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=4.05 (synthetic-relative only); code_switch via pure-cat gap (2.81-2=0.81); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,19,mixed_script,"Bhai please मेरा homework कर दे, मैं तुझे ₹100 दूंगा।",2,ear-only,1,4,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.408 dg=0.408 groq=0.408 → intel_per [aai=2 dg=2 groq=2] median=2; silent_per [aai=0 dg=0 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.89 (synthetic-relative only); code_switch via pure-cat gap (2.81-2=0.81); naturalness=ear-only per CEILING_REPORT.md.
kokoro,20,mixed_script,Tumne वो new restaurant try kiya jo Connaught Place में khula hai?,3,ear-only,1,5,FALSE,FALSE,FALSE,MEDIUM,unified_CER aai=0.147 dg=0.361 groq=0.230 → intel_per [aai=4 dg=2 groq=3] median=3; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.10 (synthetic-relative only); code_switch via pure-cat gap (3.56-3=0.56); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,20,mixed_script,Tumne वो new restaurant try kiya jo Connaught Place में khula hai?,3,ear-only,4,4,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.459 dg=0.180 groq=0.230 → intel_per [aai=2 dg=3 groq=3] median=3; silent_per [aai=1 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.94 (synthetic-relative only); code_switch via pure-cat gap (3.12-3=0.12); naturalness=ear-only per CEILING_REPORT.md.
indicf5,20,mixed_script,Tumne वो new restaurant try kiya jo Connaught Place में khula hai?,1,ear-only,1,5,FALSE,TRUE,TRUE,HIGH,unified_CER aai=0.803 dg=0.754 groq=0.721 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=4.01 (synthetic-relative only); code_switch via pure-cat gap (2.81-1=1.81); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,20,mixed_script,Tumne वो new restaurant try kiya jo Connaught Place में khula hai?,1,ear-only,1,5,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.853 dg=0.853 groq=0.853 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=4.07 (synthetic-relative only); code_switch via pure-cat gap (2.81-1=1.81); naturalness=ear-only per CEILING_REPORT.md.
kokoro,21,mixed_script,"कल का event cancel हो गया, सबको message कर देना please।",5,ear-only,5,5,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.040 dg=0.000 groq=0.000 → intel_per [aai=5 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.20 (synthetic-relative only); code_switch via pure-cat gap (3.56-5=-1.44); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,21,mixed_script,"कल का event cancel हो गया, सबको message कर देना please।",4,ear-only,5,4,FALSE,FALSE,TRUE,HIGH,unified_CER aai=0.140 dg=0.020 groq=0.100 → intel_per [aai=4 dg=5 groq=4] median=4; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.84 (synthetic-relative only); code_switch via pure-cat gap (3.12-4=-0.88); naturalness=ear-only per CEILING_REPORT.md.
indicf5,21,mixed_script,"कल का event cancel हो गया, सबको message कर देना please।",2,ear-only,1,5,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.400 dg=0.420 groq=0.400 → intel_per [aai=2 dg=2 groq=2] median=2; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=4.06 (synthetic-relative only); code_switch via pure-cat gap (2.81-2=0.81); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,21,mixed_script,"कल का event cancel हो गया, सबको message कर देना please।",1,ear-only,1,3,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.540 dg=0.540 groq=0.560 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.46 (synthetic-relative only); code_switch via pure-cat gap (2.81-1=1.81); naturalness=ear-only per CEILING_REPORT.md.
kokoro,22,mixed_script,"Boss को बता देना kal मैं leave पर रहूँगा, kuch personal काम है।",4,ear-only,5,5,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.093 dg=0.056 groq=0.093 → intel_per [aai=4 dg=4 groq=4] median=4; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.03 (synthetic-relative only); code_switch via pure-cat gap (3.56-4=-0.44); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,22,mixed_script,"Boss को बता देना kal मैं leave पर रहूँगा, kuch personal काम है।",4,ear-only,5,4,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.111 dg=0.074 groq=0.130 → intel_per [aai=4 dg=4 groq=4] median=4; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.98 (synthetic-relative only); code_switch via pure-cat gap (3.12-4=-0.88); naturalness=ear-only per CEILING_REPORT.md.
indicf5,22,mixed_script,"Boss को बता देना kal मैं leave पर रहूँगा, kuch personal काम है।",3,ear-only,5,5,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.296 dg=0.278 groq=0.296 → intel_per [aai=3 dg=3 groq=3] median=3; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.17 (synthetic-relative only); code_switch via pure-cat gap (2.81-3=-0.19); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,22,mixed_script,"Boss को बता देना kal मैं leave पर रहूँगा, kuch personal काम है।",2,ear-only,1,5,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.444 dg=0.407 groq=0.426 → intel_per [aai=2 dg=2 groq=2] median=2; silent_per [aai=0 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=4.03 (synthetic-relative only); code_switch via pure-cat gap (2.81-2=0.81); naturalness=ear-only per CEILING_REPORT.md.
kokoro,23,mixed_script,"Ye file को quickly review करो, deadline बहुत close है।",4,ear-only,5,4,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.077 dg=0.019 groq=0.058 → intel_per [aai=4 dg=5 groq=4] median=4; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.65 (synthetic-relative only); code_switch via pure-cat gap (3.56-4=-0.44); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,23,mixed_script,"Ye file को quickly review करो, deadline बहुत close है।",3,ear-only,4,4,FALSE,FALSE,FALSE,MEDIUM,unified_CER aai=0.365 dg=0.077 groq=0.154 → intel_per [aai=2 dg=4 groq=3] median=3; silent_per [aai=1 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.65 (synthetic-relative only); code_switch via pure-cat gap (3.12-3=0.12); naturalness=ear-only per CEILING_REPORT.md.
indicf5,23,mixed_script,"Ye file को quickly review करो, deadline बहुत close है।",1,ear-only,1,4,FALSE,TRUE,TRUE,HIGH,unified_CER aai=0.615 dg=0.615 groq=0.615 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.67 (synthetic-relative only); code_switch via pure-cat gap (2.81-1=1.81); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,23,mixed_script,"Ye file को quickly review करो, deadline बहुत close है।",1,ear-only,1,4,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.731 dg=0.788 groq=0.692 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.74 (synthetic-relative only); code_switch via pure-cat gap (2.81-1=1.81); naturalness=ear-only per CEILING_REPORT.md.
kokoro,24,english_with_NE,My friend Aishwarya from Chennai is visiting Bengaluru next week.,5,ear-only,5,4,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.045 dg=0.000 groq=0.000 → intel_per [aai=5 dg=5 groq=5] median=5; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.80 (synthetic-relative only); code_switch via pure-cat gap (3.56-5=-1.44); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,24,english_with_NE,My friend Aishwarya from Chennai is visiting Bengaluru next week.,5,ear-only,5,4,FALSE,FALSE,FALSE,MEDIUM,unified_CER aai=0.151 dg=0.000 groq=0.000 → intel_per [aai=3 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.92 (synthetic-relative only); code_switch via pure-cat gap (3.12-5=-1.88); naturalness=ear-only per CEILING_REPORT.md.
indicf5,24,english_with_NE,My friend Aishwarya from Chennai is visiting Bengaluru next week.,1,ear-only,1,3,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.939 dg=0.818 groq=0.849 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.42 (synthetic-relative only); code_switch via pure-cat gap (2.81-1=1.81); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,24,english_with_NE,My friend Aishwarya from Chennai is visiting Bengaluru next week.,1,ear-only,1,4,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.939 dg=0.864 groq=0.864 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.61 (synthetic-relative only); code_switch via pure-cat gap (2.81-1=1.81); naturalness=ear-only per CEILING_REPORT.md.
kokoro,25,english_with_NE,Mr. Khanna will join the meeting after he finishes lunch with Priya.,5,ear-only,5,4,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.049 dg=0.033 groq=0.000 → intel_per [aai=5 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.66 (synthetic-relative only); code_switch via pure-cat gap (3.56-5=-1.44); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,25,english_with_NE,Mr. Khanna will join the meeting after he finishes lunch with Priya.,5,ear-only,5,4,FALSE,FALSE,FALSE,MEDIUM,unified_CER aai=0.164 dg=0.049 groq=0.000 → intel_per [aai=3 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.90 (synthetic-relative only); code_switch via pure-cat gap (3.12-5=-1.88); naturalness=ear-only per CEILING_REPORT.md.
indicf5,25,english_with_NE,Mr. Khanna will join the meeting after he finishes lunch with Priya.,1,ear-only,1,4,FALSE,TRUE,FALSE,HIGH,unified_CER aai=1.000 dg=0.836 groq=0.853 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.81 (synthetic-relative only); code_switch via pure-cat gap (2.81-1=1.81); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,25,english_with_NE,Mr. Khanna will join the meeting after he finishes lunch with Priya.,1,ear-only,1,5,FALSE,TRUE,FALSE,HIGH,unified_CER aai=1.000 dg=0.885 groq=0.885 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=4.07 (synthetic-relative only); code_switch via pure-cat gap (2.81-1=1.81); naturalness=ear-only per CEILING_REPORT.md.
kokoro,26,english_with_NE,I love butter chicken from Karim's in Old Delhi.,5,ear-only,5,3,FALSE,FALSE,FALSE,MEDIUM,unified_CER aai=0.250 dg=0.045 groq=0.000 → intel_per [aai=3 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.48 (synthetic-relative only); code_switch via pure-cat gap (3.56-5=-1.44); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,26,english_with_NE,I love butter chicken from Karim's in Old Delhi.,4,ear-only,5,5,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.114 dg=0.227 groq=0.114 → intel_per [aai=4 dg=3 groq=4] median=4; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.07 (synthetic-relative only); code_switch via pure-cat gap (3.12-4=-0.88); naturalness=ear-only per CEILING_REPORT.md.
indicf5,26,english_with_NE,I love butter chicken from Karim's in Old Delhi.,1,ear-only,1,4,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.977 dg=0.750 groq=0.750 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.82 (synthetic-relative only); code_switch via pure-cat gap (2.81-1=1.81); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,26,english_with_NE,I love butter chicken from Karim's in Old Delhi.,1,ear-only,1,5,FALSE,TRUE,FALSE,HIGH,unified_CER aai=1.000 dg=0.909 groq=0.909 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=4.17 (synthetic-relative only); code_switch via pure-cat gap (2.81-1=1.81); naturalness=ear-only per CEILING_REPORT.md.
kokoro,27,mixed_script,"Office में सब log lunch के लिए बाहर गए, तू भी आ ja yaar.",4,ear-only,5,4,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.122 dg=0.122 groq=0.143 → intel_per [aai=4 dg=4 groq=4] median=4; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.98 (synthetic-relative only); code_switch via pure-cat gap (3.56-4=-0.44); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,27,mixed_script,"Office में सब log lunch के लिए बाहर गए, तू भी आ ja yaar.",3,ear-only,4,3,FALSE,FALSE,FALSE,MEDIUM,unified_CER aai=0.225 dg=0.041 groq=0.265 → intel_per [aai=3 dg=5 groq=3] median=3; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.38 (synthetic-relative only); code_switch via pure-cat gap (3.12-3=0.12); naturalness=ear-only per CEILING_REPORT.md.
indicf5,27,mixed_script,"Office में सब log lunch के लिए बाहर गए, तू भी आ ja yaar.",2,ear-only,1,5,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.367 dg=0.367 groq=0.388 → intel_per [aai=2 dg=2 groq=2] median=2; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.27 (synthetic-relative only); code_switch via pure-cat gap (2.81-2=0.81); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,27,mixed_script,"Office में सब log lunch के लिए बाहर गए, तू भी आ ja yaar.",2,ear-only,1,5,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.408 dg=0.429 groq=0.449 → intel_per [aai=2 dg=2 groq=2] median=2; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=4.01 (synthetic-relative only); code_switch via pure-cat gap (2.81-2=0.81); naturalness=ear-only per CEILING_REPORT.md.
kokoro,28,english_with_NE,Rohan is flying from Mumbai to Bengaluru tomorrow morning for work.,5,ear-only,5,4,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.125 dg=0.000 groq=0.000 → intel_per [aai=4 dg=5 groq=5] median=5; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.51 (synthetic-relative only); code_switch via pure-cat gap (3.56-5=-1.44); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,28,english_with_NE,Rohan is flying from Mumbai to Bengaluru tomorrow morning for work.,5,ear-only,5,4,FALSE,FALSE,FALSE,MEDIUM,unified_CER aai=0.266 dg=0.000 groq=0.000 → intel_per [aai=3 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.85 (synthetic-relative only); code_switch via pure-cat gap (3.12-5=-1.88); naturalness=ear-only per CEILING_REPORT.md.
indicf5,28,english_with_NE,Rohan is flying from Mumbai to Bengaluru tomorrow morning for work.,1,ear-only,1,5,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.797 dg=0.750 groq=0.781 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=4.14 (synthetic-relative only); code_switch via pure-cat gap (2.81-1=1.81); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,28,english_with_NE,Rohan is flying from Mumbai to Bengaluru tomorrow morning for work.,1,ear-only,1,4,FALSE,TRUE,FALSE,HIGH,unified_CER aai=1.000 dg=0.844 groq=0.844 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.53 (synthetic-relative only); code_switch via pure-cat gap (2.81-1=1.81); naturalness=ear-only per CEILING_REPORT.md.
kokoro,29,english_with_NE,Let's grab biryani from Paradise in Hyderabad this weekend.,5,ear-only,5,4,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.102 dg=0.000 groq=0.000 → intel_per [aai=4 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.79 (synthetic-relative only); code_switch via pure-cat gap (3.56-5=-1.44); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,29,english_with_NE,Let's grab biryani from Paradise in Hyderabad this weekend.,5,ear-only,5,5,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.085 dg=0.000 groq=0.000 → intel_per [aai=4 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.10 (synthetic-relative only); code_switch via pure-cat gap (3.12-5=-1.88); naturalness=ear-only per CEILING_REPORT.md.
indicf5,29,english_with_NE,Let's grab biryani from Paradise in Hyderabad this weekend.,1,ear-only,1,4,FALSE,TRUE,FALSE,HIGH,unified_CER aai=0.831 dg=0.848 groq=0.814 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.54 (synthetic-relative only); code_switch via pure-cat gap (2.81-1=1.81); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,29,english_with_NE,Let's grab biryani from Paradise in Hyderabad this weekend.,1,ear-only,1,5,FALSE,TRUE,FALSE,HIGH,unified_CER aai=1.000 dg=0.932 groq=0.881 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=4.11 (synthetic-relative only); code_switch via pure-cat gap (2.81-1=1.81); naturalness=ear-only per CEILING_REPORT.md.
kokoro,30,english_with_NE,She just got hired at Tata Consultancy Services in Pune.,4,ear-only,5,4,FALSE,FALSE,FALSE,LOW,unified_CER aai=0.089 dg=0.036 groq=0.554 → intel_per [aai=4 dg=5 groq=1] median=4; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.66 (synthetic-relative only); code_switch via pure-cat gap (3.56-4=-0.44); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,30,english_with_NE,She just got hired at Tata Consultancy Services in Pune.,4,ear-only,5,4,FALSE,FALSE,FALSE,HIGH,unified_CER aai=0.161 dg=0.089 groq=0.089 → intel_per [aai=3 dg=4 groq=4] median=4; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.84 (synthetic-relative only); code_switch via pure-cat gap (3.12-4=-0.88); naturalness=ear-only per CEILING_REPORT.md.
indicf5,30,english_with_NE,She just got hired at Tata Consultancy Services in Pune.,1,ear-only,1,5,FALSE,TRUE,FALSE,HIGH,unified_CER aai=1.000 dg=0.804 groq=0.821 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=4.17 (synthetic-relative only); code_switch via pure-cat gap (2.81-1=1.81); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,30,english_with_NE,She just got hired at Tata Consultancy Services in Pune.,1,ear-only,1,5,FALSE,TRUE,FALSE,HIGH,unified_CER aai=1.000 dg=0.875 groq=0.875 → intel_per [aai=1 dg=1 groq=1] median=1; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=4.19 (synthetic-relative only); code_switch via pure-cat gap (2.81-1=1.81); naturalness=ear-only per CEILING_REPORT.md.
